percent_gait_cycle,AdductorLongus,AdductorMagnus,BicepsFemorisLongHead,BicepsFemorisShortHead,ExtensorDigitorumLongus,ExtensorHallucisLongus,FlexorDigitorumLongus,FlexorHallucisLongus,Gastrocnemius,GluteusMaximusLower,GluteusMaximusUpper,GluteusMedius,Gracilis,Iliacus,PeroneusBrevis,PeroneusLongus,Popliteus,RectusFemoris,Sartorius,Semimembranosus,Semitendinosus,Soleus,TensorFasciaLata,TibialisAnterior,TibialisPosterior,VastusIntermedius,VastusLateralis,VastusMedialisLongus,VastusMedialisOblique
40.0,0.0,0.0,0.0,0.0,0.0,0.0,29.309258278169366,42.627205658079944,76.83792456681982,0.0,0.0,0.0,0.0,0.0,27.10273574090918,24.982491274138354,13.855816097090905,0.0,0.0,0.0,0.0,81.09143120251711,15.19034287593102,0.0,26.65914949493747,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9352431489871,51.86858409142899,75.42728142411484,0.0,0.0,0.0,0.0,0.0,26.83950397773943,26.985666102904073,13.825701493823189,0.0,0.0,0.0,0.0,83.73079275190082,12.365255973174657,0.0,29.074015131775088,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8636146828486,56.79743802486429,71.51470572628271,0.0,0.0,0.0,0.0,0.0,33.00810418730778,26.306085757970624,12.559582365270002,0.0,0.0,0.0,0.0,85.8065332831706,11.145814064266569,0.0,29.024749804211144,0.0,0.0,0.0,0.0
43.0,0.0,0.0,0.0,0.0,0.0,0.0,39.98764259718718,60.871297076741854,62.843357320952514,0.0,0.0,0.0,0.0,0.0,37.22164054533772,26.27233548707281,9.788797087308188,0.0,0.0,0.0,0.0,86.7900012880126,6.068506388947921,0.0,30.306235087373622,0.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0,0.0,0.0,0.0,42.171251415708646,66.37613295539772,55.86906054310382,0.0,0.0,0.0,0.0,0.0,38.891455552317815,26.808502184019662,8.614381085651004,0.0,0.0,0.0,0.0,84.82175241354022,1.4959691000778226,0.0,33.50878282497247,0.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0,42.37663477041146,74.87341465546235,50.39072054775933,0.0,0.0,0.0,0.0,0.0,38.50359235235937,24.267012554562953,7.536560408829485,0.0,0.0,0.0,0.0,79.54378341407184,0.0,0.0,32.422938109710344,0.0,0.0,0.0,0.0
46.0,7.21027620368424,0.0,0.0,0.0,0.0,0.0,40.41233468059291,75.86347795041398,46.13325926442158,0.0,0.0,0.0,0.0,0.0,40.20968850203864,21.683844797838013,8.99175391927802,0.0,0.0,0.0,0.0,72.60036598799907,0.0,0.0,27.816700480264625,0.0,0.0,0.0,0.0
47.0,15.754960775097423,0.0,0.0,0.0,0.0,0.0,43.09407265970864,73.90383513172642,38.6197744041721,0.0,0.0,0.0,0.0,0.0,39.95017543557397,19.461865049234845,14.20919670300582,0.0,0.0,0.0,0.0,63.87727335048509,0.0,0.0,23.57458040601008,0.0,0.0,0.0,0.0
48.0,21.852028518937452,0.0,0.0,0.0,0.0,0.0,43.60141990906676,69.60929388052004,26.539105222440384,0.0,0.0,0.0,0.0,0.0,38.815149253771395,17.335858624908955,15.480431149391428,0.0,0.0,0.0,0.0,53.339385049365184,0.0,0.0,20.269223924620842,0.0,0.0,0.0,0.0
49.0,30.472375181910984,0.0,0.0,0.0,0.0,0.0,41.87541718566396,72.29106077922131,14.10259156210273,0.0,0.0,0.0,1.1652460411501604,0.0,35.33635508144523,14.80983667440466,17.303367784924635,0.0,0.0,0.0,0.0,41.36625284036606,0.0,0.0,17.039763182249626,0.0,0.0,0.0,0.0
50.0,30.065688129300575,0.0,0.0,0.0,0.0,0.0,39.09245076901236,71.20965385970386,3.2910478915952734,0.0,0.0,0.0,6.684780252938634,0.0,32.11109172925125,10.309136624041702,19.2969926086075,0.0,0.0,0.0,0.0,30.809686005285062,0.0,0.0,8.629510624549923,0.0,0.0,0.0,0.0
51.0,28.460303423615,0.0,0.0,0.0,0.0,0.0,27.409792859009176,52.4934526632666,0.0,0.0,0.0,0.0,11.551668359204086,0.0,28.427311048973177,3.8643249349929842,20.263287961075015,0.0,0.0,0.0,0.0,19.21800748618037,0.0,0.0,1.4313961112196925,0.0,0.0,0.0,0.0
52.0,31.892028052619782,0.0,0.0,0.0,0.0,0.0,19.419714195559283,39.81000476339045,0.0,0.0,0.0,0.0,16.195312023579554,0.0,19.09154523645962,0.0,19.974115229247833,0.0,0.0,0.0,0.0,5.766877301802665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
